상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_review
헨젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4702003869115,126.81926021095,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20헨젤,https://m.place.naver.com/restaurant/782831457,경기 부천시 양지로152번길 3 1층 henjell,,/아이가 좋아했어요 ^^ 감사합니다
예당어죽닭발,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4703677906749,126.812587686038,별식/퓨전요리죽전문점한식 음식점업,범박동%20예당어죽닭발,https://m.place.naver.com/restaurant/37187175,경기 부천시 양지남로 31 1층 예당어죽닭발,,/김치맛집이에요. 어죽 잘하는 집이에요./강 추천^^/맛있어요~/ㅇㅇ/좋아요/음식 맛있어요/좋아요/맛있어요/굿/양도 많고 얼큰하면서 좋아요 김치도 맛있어요
공간,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4696804330729,126.818624016269,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20공간,https://m.place.naver.com/restaurant/1330739200,경기 부천시 범안로 117 현대리치모아 506호,4.41,/굿/깨끗해요/좋아요/ㄹ/굿!/조용하고 분위기 좋아요/선생님 친절하시고 관리 잘되어 만족해요/좋아요/좋아요/좋아요^^
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4677529115346,126.82230570854,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20BHC치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34,4.46,/너무 맛있어요^^양도많고 신선해여 감사합니다/늘 핫뿌링클~~매우면서 땡기는맛~~ 시즈닝이 넉넉히 많아 넘 좋아여~^^/매장도 청결하고 맛도 😀/후라이드치킨 너무 맛있어요 치즈볼도 맛있어요^^/맛초킹 맛있어요/굿/좋아요/좋아요/자주 갑니다./굿
쥬시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4675351175665,126.822150862624,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20쥬시,https://m.place.naver.com/restaurant/1185246997,경기 부천시 양지로184번길 29 116호,,/가성비 좋아요/점장님이 너무너무 친절하시구! 너무 맛있습니다! 가성비에 행복함까지 더 가져갔네요! 감사합니다!!/양 짱 많이 주시고 친절 번창하세요/맛있어요~!!과일이 너무 싱싱해요!^^/미숫가루 맛있네요/시원하고 아주 좋아요~!!/저렴하니 가성비 좋아요/음료가 너무 맛있고 친절하십니다 🙂/친절하고 너무맛나요
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287,별식/퓨전요리죽전문점한식 음식점업,범박동%20본죽,https://m.place.naver.com/restaurant/1256987099,경기 부천시 범안로 118 신한은행365) 영플러스 101호,4.38,/체해서 아들램이 제대로 못먹었는데..낚지김치죽먹고 소고기야채죽도 먹고 잘먹으니 기특하네요^^ 역시 죽은 본죽입니다^^/죽 좋아해서 자주 가요/아플때 사먹는곳/가까워서 방문해요/맛있게 먹었어요/포장 해 와서 자주 먹고 있어요. 사장님도 친절하시고 모든 메뉴 다 맛있습니다. 강추해요/맛있습니다./사장님이 엄청 친절하세요/굿/좋아요
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721,한식한식/백반/한정식한식 음식점업,범박동%20영양사가차려주는밥상,https://m.place.naver.com/restaurant/1802642578,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층,4.31,/맛있어요/굿/Good/좋아요/음.. 종류가 생각했던것 만큼 다양하지 않음. 가성비는 글쎄요.. 맛도 그냥저냥.. 오삼불고기 인 듯 한데 냉동 오징어 사용.. 김x천x국 가서 사먹는게 나을 듯../굳/좋아요/푸짐해서 많이 먹거되네요 맛있고 깨끗해요 매뉴 고민스러울땐 아무생각없이 여기오면 딱이네요/😁/이전해서 처음가봤는데 깨끗하고 맛났어요 재방문 의사있습니다 굿
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20청년다방,https://m.place.naver.com/restaurant/1605463968,경기 부천시 옥길로 113 상림프라자 102호,4.44,/차돌세트 푸짐해요.볶음밥도 맛있어요/오랜만에 방문해서 맛있게 먹고 갑니다~/매운 떡볶이 맛나요~/차돌떡볶이 맛있어요 :)/차돌세트 맛있어요./양도 많고 맛있어요/가격이… ㅠㅠ/맛있는곳 알바생 응대는 별로/좋아요/음식도맛있구 직원도 친절하고 넘좋아요
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식떡볶이전문분식 및 김밥 전문점,범박동%20감탄떡볶이범박점,https://m.place.naver.com/restaurant/784508270,경기 부천시 범안로 117,4.42,/포장해먹기 좋음/매장 직원분도 친절하시고 양도 엄청 많고 맛있습니다/좋아요/굿/굿~ㅋ/굿/떡볶이 맛있음니다/굿/굿/굿
명인참치,일식/수산물,참치전문점,일식 음식점업,범박동,37.4726990381664,126.813240425213,일식/수산물참치전문점일식 음식점업,범박동%20명인참치,https://m.place.naver.com/restaurant/37038975,경기 부천시 양지로92번길 9-3 상정프라자 101호,4.32,/^^/맛있어요/신선하고 맛있어요👍👍👍👍👍짱/😃/^^/🤭/^^/^^/좋아요/맛있어요
범박식당,한식,한식/백반/한정식,한식 음식점업,범박동,37.4671348442594,126.811870125257,한식한식/백반/한정식한식 음식점업,범박동%20범박식당,https://m.place.naver.com/restaurant/36438461,경기 부천시 양지남로 49,4.45,"/역곡에서 자주가는 맛집. 가보면 왜 맛집이라 하는지 알 수 있습니다. 가성비 좋은 이탈리아 레스토랑이라 데이트코스나 가족모임 장소로 최고예요./완전 맛있어요!!! 빵을 까르보나라 소스에 찍어 먹으면 꿀맛!!/근처에 이렇게 맛있는 파스타집이 있는줄몰랐어요~ 가격도 좋고 맛도있어서 자주 올 듯하네요 :) 빠네 강추에요!!/여기 로제 빠네 엄청 맛있어요! 크림도 넉넉해서 빵 다 찍어 먹기 충분해요~~ 피자도 토핑 다양하게 먹을 수 있어 좋네요!/명란크림파스타에 명란이 많아요. 크림의 풍미와 잘 어울립니다. 알리오올리오 파스타도 깔끔하고 맛있습니다. 사장님이 친절하세요/맥주와 함께 즐길 수있는 파스타 맛있어요! 특히 칼칼한 불마녀 파스타 추천해요:)/초창기 범박동 카페거리 생길때부터 지금까지 쭉 자리를 지키고 있는 몇 안되는 식당 중 하나예요. 분위기 내고 싶을때가 아닌, 파스타를 후루룩 먹어버 리고 싶을때 먹기 좋은 곳 아닌가 싶어요. 배달 주문 했는데요~ 최소 주문이 5,000원 이상이면 된다니요😘😁😄 혼밥할때 딱 좋았습니다./오랫만에와서 맛있게,잘먹었어요 여전히,친절하세요~/메뉴가 많아서 좋아요. ^.^* 아이와 함께 오기도 좋아요. 저희는 리조또 시켰어요~ 근처에서 스파게티 먹으러 왔는데 분위기도 괜찮네요./파스타는 역시 빠네😘 맛있어요 양이 많아서 둘이 다 못 먹을 정도네요 히힛"
도미노피자부천옥길점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4717534455927,126.816884316529,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20도미노피자부천옥길점,https://m.place.naver.com/restaurant/872571013,경기 부천시 양지로 125 예품빌딩 1층,4.36,"/씬피자 부담없고 맛있어요/친절하고 맛있어요/피자집중 내 입맛에 제일 잘맞는 도미노피자/부천페이가능, 도미노피자 굿/피자 맛있어요/어린이날 기념 방문 포장하면 50% 할인이래요~!! 참고하셔여|!/더욱번창하세요/넘 맛있고 친절하시네요!/도미노피자 체고..~/맛있어요 포장해가기 좋아요"
한라산도새기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4721850284989,126.814096440567,한식갈비/삼겹살한식 음식점업,범박동%20한라산도새기,https://m.place.naver.com/restaurant/58353341,경기 부천시 양지로 102,4.41,"/고기도 청국장도 맛나요/일요일 점심에 아내와 방문하였습니다. 메뉴는 제주명품흑돼지오겹살 2인분, 계란찜, 공기밥을 주문하였습니다. 물통에 반찬 찌거기와 물티슈에 소스 같은 찐득한게 붙어 있었지만 그러려니 하였습니다. 고기는 양이 조금 부족해 보였지만(2인분 360g) 적당히 두툼해 아내가 좋아하기에 넘겼습니다. 문제는 계란찜이었는데 적당히 먹을만 했지만 계란찜 안에서 둥글고 다리가 많이 보이는 무언가가 누워있었습니다. 쥐며느리…종업원이 확인하.../제주도에 가지않고 제주고기 먹을수 있어서 좋았어요./오늘 같이 흐린 날에 생각나는 한라산 도새기 오겹살 역시 맛나용~~/좋아여/오랜만에 방문했네요. 맛있어요/주변고깃집에서 먹어본 고기중 최고에요.,, 그리고 비빔냉면 맛집 ㅠㅠ고기도 냉면도 다다다다다맛있어요ㅠㅠ앞으로삼겹살은 이곳으로!/냉면이 맛있어요/친절하고 맛있어요 역시소문대로네요/좋아요"
육대장,한식,한식/백반/한정식,한식 음식점업,범박동,37.4730613277981,126.813426886801,한식한식/백반/한정식한식 음식점업,범박동%20육대장,https://m.place.naver.com/restaurant/33758558,경기 부천시 양지로 93,4.3,"/육칼 맛있어요~/평소에자주가서 먹어요 한끼 배부르게먹었어요^^ 어른, 애들 같이 먹을수있어서좋아요/맛있는 육계장. 육대장/육칼 칼칼해서 맛있어요~~/국물이 찐하고 맛있어요/좋아요~/굿/ㅎ/육칼이 더 잘나오는 듯📌/딸이 면이 먹고싶다해서 면좀주면 안되냐니까 단호하게 안된다니 면추가도없고 기분상해서 다신안간다"
이강숯불갈비,한식,갈비/삼겹살,한식 음식점업,범박동,37.4744610858647,126.81194634488,한식갈비/삼겹살한식 음식점업,범박동%20이강숯불갈비,https://m.place.naver.com/restaurant/38711169,경기 부천시 양지로 69,4.19,/고기랑 반찬은 맛있었는데 된장찌개가 반찬만큼의 맛은 아니였어요 유난히 큰목소리로 술먹으며 대화하는 가족때메 시끄러워 좀 불편했어요/왕갈비하고 밑반찬이 맛있어요/고기가 맛있어요/갈비가 맛있어요/좋아요/왕갈비도 맛있고 반찬이 깔끔하고 맛있어요/ㅅ/맛있어요~/말이 필요없는집 그냥 가서 드세요 밑반찬에 우무가사리가 웬말이냐 사이드메뉴에 추가해주세요!! 1년 4계절 먹게!!!/간만에 외식~ 갈비 맛나게 잘 먹었어용~♡
죽이야기,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4672485119523,126.821420571102,별식/퓨전요리죽전문점한식 음식점업,범박동%20죽이야기,https://m.place.naver.com/restaurant/12789908,경기 부천시 범안로 117 현대리치모아상가 126호,4.41,/언제 먹어도 맛있습니다. 죽 먹고 싶을때는 항상 여기서 먹고 있어요./맛있네요/굿굿/야채양이 아쉽네요../좋아요/좋아요/좋아요/좋아요/굿/너무 맛있고 친절하세요.
얌샘김밥,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4626379553638,126.812698640049,분식라면김밥분식분식 및 김밥 전문점,범박동%20얌샘김밥,https://m.place.naver.com/restaurant/1232756989,경기 부천시 범안로 221,4.43,/김밥이 밥은 얇고 속은 꽉찬 김밥이어서 맛있어요! 돈까스랑 탕수육도 바삭해서 잘 먹었습니다~~/왜 포장인데..매번 젓가락이나 단무지등 하나도 안챙겨주고 달랑 음식만 넣는지 모르겠어요ㅡㅡ;;; 저번에는 포장해서 확인했는데 또 안 넣어서 손으로먹었는데 일일이 포장해갈때 마다 소비자가 직접 확인하고 달라고 해야하게 너무 불편해요. 귀찮거나 코스트 절감 때문이라면 그래도 손님한테 좀 물어보고 선택해서 할수있게 하지.. 포장에 모두 빼는지 이해가 안갑니다./친절하지는 않아요/맛있어요~/점심~/점심으로/적당한 가격..적당한 맛^^/항상 맛나게 먹어요 김밥이 맛있어요/좋아요/굿
홍루이젠,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4655747846638,126.827076332873,"패스트푸드샌드위치전문점피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20홍루이젠,https://m.place.naver.com/restaurant/1127590879,경기 부천시 양지남로 22 1층,4.51,/항상맛있네요/맛있어요/👍🏻/샌드위치 맛있어요/맛있어요 새로나온 신상도 좋네요/굿/좋아요/굿/맛나요./굿
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4626382960409,126.812732545861,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20이디야커피,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26,,/자주 가는곳이에요/자주 이용하고 있어요! 굳굳/친절하세요 ㅋㅋ 글구 좀 넓고 조용해서 좋았어요 ㅋㅋ/좋아요/화장실도 안에 있어서 편해요~/맛있어요 조용하고 넓어요/굿/맛있고 친절해요^^/굿
코바코,양식,돈가스전문점,서양식 음식점업,범박동,37.4672485119523,126.821420571102,양식돈가스전문점서양식 음식점업,범박동%20코바코,https://m.place.naver.com/restaurant/1247295677,경기 부천시 양지로184번길 29,4.38,"/혼밥하기 좋고 김치찌개돈가스 칼칼하니 맛있었어요!/사장님 친절하시고 혼밥해도 좋은 곳이에요 맛도 좋아요/요기 맛있어요♡/근처 일 있어서 갔다가 방문 했는데 맛있네요 친절하고 맛나고 새우돈까스 정식 아이랑 둘이 먹었어요 10,000 원인데 넘 잘 나오네요 ^^/돈까스가 바삭바삭 맛있어서 종종 먹어용/양도 푸짐하고 맛도 풍부하고 맛있어요~/주차하기가 힘들어서 멀리 차대고 걸어가서 포장하는데 손님중에 아는 사람이 왔는지 계속 그쪽이랑 얘기만하고 다른 손님이 와도 아는척도 안하네요. ㅎㅎ 결국 테이블에 앉아 있던 손님이 눈치를 주고나서야 저에게 어서오세요 하네요. ㅎㅎ 매장도 좁아서 음식 나올 때 까지 밖에서 기다리는데 뻔히 밖에서 기다리는거 알면서도 이미 음식이 나왔음에도 나왔다는 말 한마디 안하고 기분이 좀 그렇더군요. 바쁜 점심시간도 아니고 손님도 한테이.../굿/좋아요"
옥길동커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4669179977131,126.823517071921,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20옥길동커피,https://m.place.naver.com/restaurant/387395309,경기 부천시 범안로 117,4.16,/건물 안쪽에 있어 창문뷰가 없어 아쉽지만 커피도 맛있고 친절한곳/좋아요/굿/굿/맛있어요~♡♡/굿/좋아요/분위기 좋고 친절하세요 ㅎㅎ/굿/맛있어요 샌드위치 쵝오
옥길동갈매기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4679798269767,126.822471716806,한식갈비/삼겹살한식 음식점업,범박동%20옥길동갈매기,https://m.place.naver.com/restaurant/1654114240,경기 부천시 양지로171번길 29 1층,,"/갈매기살 가격이 저렴해서 부담 없습니다 맛도 양념이 잘 되어 있어서 괜찮아요, 직원분들도 친절하십니다/갈매기살이맛있어요 그리고맥주를 시원하게 해주니 조아요/괜찮아요/음식의 맛은 있었지만 서비스가 최악이에요. 저희가 시킨 음식이 옆 테이블에 갔다 오는 것까지는 바쁘셔서 그렇겠지~ 라며 기분 나빠하시는 부모님께 이해하라는 식으로 말했어요. 그런데 계산을 할 때 4인분을 시켰는데 5인분이라고 찍혀있고 먹지도 않은 음료수도 찍혀있었어요. 어머니께 얼마 안 나 왔네요~라고 하시더라고요? 4인분 시켰고 다른 고기 추가했다고 말씀드려도 아니라고 이것도 1인분 추가했다고 기분나쁘다는 식으로 갸우뚱거.../신선하고 맛나요! 고기도 냄새안나고 맛있어요!/ㆍ/G/밑반찬이 잘 나오고 가성비가 좋습니다 갈매기 전문이라서 갈매기살이 넘 부드럽고 맛있구 육회도 넘넘 맛있어요 육회가격도 넘 저렴하고 가격대비 맛이 짱짱입니다/깨끗하고 친절하며 맛도 좋아요/맛나요!"
커피에반하다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.468597723533,126.821184599758,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20커피에반하다,https://m.place.naver.com/restaurant/1525191265,경기 부천시 양지로184번길 8-14,4.42,/좋아요/가성비가좋아요/콜드브루는 커반이 진심최고에요! 여기서 먹으면 딴데꺼 맛없어서 못먹어요.ㅋㅋ 커반콜드브루 최고♡/굿/좋아요/친절해요!!!/좋아요/맛있어용/좋아요/좋아요
원할머니보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4698038772609,126.819255143309,한식족발/보쌈전문한식 음식점업,범박동%20원할머니보쌈,https://m.place.naver.com/restaurant/12928616,경기 부천시 부일로 732,4.42,/보쌈이 맛있어요./👍/ㅎㅎ/굿/좋아여/좋아요/좋아요/여자친구랑 한참 먹고 왔어요~/보통/.
토프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698399931171,126.809385467564,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20토프레소,https://m.place.naver.com/restaurant/1250249781,경기 부천시 양지로184번길 21 1층 토프레소 옥길점,4.74,/커피 맛나네요/이미 옥길동에 꽤 많은 분들이 단골이지요? 아인슈페너만 먹다가 아메리카노랑 카야토스트도 배달시켜 먹어봤는데 역시👍👍👍/제조시간이 오래걸려서 미리 전화드리고 가요~ 네이버 주문에 아인슈페너 L사이즈 주문도 있으면 좋겠습니다. 기분이 다운되는 날 이 곳 아인슈페너 를 먹으면 금새 충전됩니다. ^^/아인슈페너 맛집이라 할 수 있어요. 옥길동 카페에 있는 아인슈페너는 다 먹어봤는데 여기가 제일 맛있네요. 300원 추가하면 디카페인으로 변경도 돼 서 저녁에도 부담없이 즐기기 좋습니다./여기 아인슈페너 커피가 참 맛있어요/좋아요/커피 너무 맛있어요/굿/특별한 커피맛은 아니지만 오며가며 잘 마셨어요/조아요
