상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address,store_score,visitor_review
소름돈냉,한식,한식/백반/한정식,한식 음식점업,별내동,37.6461621927205,127.125369658936,별내동%20소름돈냉,https://m.place.naver.com/restaurant/1162633618,경기 남양주시 별내중앙로 34 로뎀타워 109호,4.47,"/냉면 양도 많고, 돈까스도 맛있고 좋았어요👍/애정하는 돈까스맛집인데 냉면맛집이었어요!!!/근처 볼일보러 갔다가 날도 덥길래 냉면땡겨서 갔는데 엄청 맛있었어요! 군만두도 맛있었구요! 직원분들 친절하시고, 음식도 빨리 나오는 편이에요! 근 데 중간맛시켰는데도 별로 맵지 않았어요ㅋㅋ 다음엔 매운맛 먹어보는걸로.. 다음엔 혼자말고 둘이가서 돈까스도 시켜먹어봐야겠어요! 다른 분들은 다 들 냉면이랑 돈까스 같이 시켜드시더라구요ㅋㅋㅋ 너무 맛있게 잘 먹었습니다~ 다음에 또 가야징..ㅋㅋㅋㅋ/완전 좋아하는 냉면집입니다~!! 매운냉면에 까르보돈가스 조합 굿굿♡/냉모밀 너무 시원하고 맛있게 먹었어요!!/냉면 돈까스 둘 다 맛있게 먹었어요:) 별내에 냉면 갈비 식당은 많은데 냉면 돈까스는 의외로 없어서 엄청 찾았는데 갈만한 식당 찾은 것 같아 좋아요. 아쉬운 점은 일반 돈까스 주문 했는데 매운 돈까스 소스도 한 번 먹어보고 싶어서 추가로 금액 지불하고 소스만 조금 받을 수 있냐고 여쭤보니 주방 이 모님이 ""이거 비싼데"" 라고 하셔서 솔직히 어이 없었네요,, 안되면 안되는 거고, 금액 받고 주실거면 주시는거지 비싼데라고 말씀하시는 건 무슨 .../일주일에 2~3번가는 소름돈냉 존맛/자꾸 생각나는 돈까스예요. 맛있어요!!/맛집입니다. 존X맛있어요. 사장님 겁나친절해요. 주차2시간무료"
목향원,한식,한식/백반/한정식,한식 음식점업,별내동,37.6832244109259,127.101738319198,별내동%20목향원,https://m.place.naver.com/restaurant/35657794,경기 남양주시 덕릉로1071번길 34-11,4.3,"/2시에 갔는데도 대기시간 1시간 주변에 볼거리 만들어놔서 사진찍으며 시간보냄 직원들 친절하고 숯불구이 고기는 맛있었고 반찬도 맛있고 밥을 3색 으로 지어 내놓는 센스도 있고 가격대비 괜찮아요 /주말에 차량진입이 너무 어려워 평일점심 먹으러 갑니다. 가는길 막히지 않고 이른 점심가니 대기 없이 들어갔어요. 자리 안내하고 '2인분 드릴게요'해 요 석쇠불고기 단일 메뉴이며 반찬은 셀프.쌈 된장은 우렁이 많이 들어있진 않지만 쫌 들어가 맛있구요 모든 반찬 싱겁습니다 밥은 예쁘게 흰밥.흑미밥. 노란조밥으로 찰지고 맛있어요. 바쁘지만 모두 친절하시구요 숲속에 와 있는듯 좋구요. 경치도 너무 좋고 오늘 바람도 솔솔 불어 너무 좋아요 몸.../부모님과 함께 드라이브겸 다녀왔는데 고기가 부드럽고 맛있었어요 석쇠불고기랑 찰밥 세덩어리가 나오는데 밥 양이 넘 많았어요 혹, 밥양이 적은 사 람들이라면 미리 얘기 하는게 좋을거 같아요 식전,후 쉴 수 있게 벤치도(대기석) 많이 마련되어있고 함께 운영하는 카페도 있어 차 한잔하며 담소 나누 기좋은 곳이었어요 /전체적으로 깔끔하고 맛있는 한식집이였습니다. 근교 나들이 외식으로 좋을 것 같습니다 메뉴에 파전있던데 계절메뉴로 현재 판매하지 않는다고 하더군요/여기 진짜 맛집인가봐요. 기본 웨이팅 1시간 정도 했는데 그래도 홀이 넓어서 진짜 회전율이 빠른편인데도 그마만큼 사람이 정말 많이 왔습니다 근데 기다린 보람이 있더라구요 숯불향이 너무 잘 뵈서 진짜 맛있게 잘 먹었어요/거리가있어서 가끔가는곳이예요 주차장넓고 한상차림 금방나와서좋아요! 삼색밥에 불고기.게장 맛납니다^^/식당 전체적으로 조용하고 정말 운치 있어요. 음식빨리 나왔구요, 석쇠구이불고기 정말맛있게 먹었어요. 향 좋고 유기농 채소에 쌈에 우렁된장올려서 싸먹으니 더욱 맛있었어요☺️담에 또 오려구용/목향원 쌈밥으로 맛있는점심먹었어요 세상에 이렇게 아름다운 식당이 있네요 정원뷰도좋구 메뉴늠 묻지도 따지지도않고 쌈밥이니다 깔끔한매뉴에 월 욜도 손님이 많네요 저희가83번째 홀이 많아서 많은기다림은 없이 먹었어요 건강식쌈밥먹고 커피도정원에서 먹고 커피는 좀 비싸긴하네요/너무 맛있어용~ 분위기도 너무 좋구 건강해지는 기분이에요☺️ 재방문 의사 백프로입니다!/경치가 좋아요. 음식도 맛있어요."
별내장군집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6662073202795,127.116508687176,별내동%20별내장군집,https://m.place.naver.com/restaurant/1654725317,경기 남양주시 덕송2로6번길 26 1층,4.58,/오 열무국수양이 기본2인분입니다 국수만 점심에 먹으러가고 싶어요ㅋㅋ 술도완전 차갑게. .진짜 굿굿/맛있어요!!! 열무냉면 최고🤭/특수부위모듬 강추..후식으로 열무국수 꼭!!!먹어야합니다... 냉면아니고 국수... 최애고기집 특수부위중 덜미살이 정말 맛있어요/여자 사장님 항상친절하시고 고기도 맛나요/덜미살과 항정살이 너무 맛나고 친절하셔서 좋아요~/좋아요/굿../넘 맛있어요^^/음식은 맛있어요 그런데 사장님 5인이상 금지에요 나이 드신분들 회식인지 뭔지 6명 붙어있는 테이블에 가림막 있다고 앉아서 술드시는 모습은 참.... 자영업 힘들지만 지킬건 지켜야죠
베스킨라빈스,패스트푸드,아이스크림판매,제과점업,별내동,37.6428056373593,127.125952915911,별내동%20베스킨라빈스,https://m.place.naver.com/restaurant/37227045,경기 남양주시 별내3로 328 (별내동) 1층 104호,4.38,"/집근처에 베스킨라빈스31이있어서 좋아요 그리고 점주님?사장님? 친절하세요~^^ 요새 포켓몬시리즈로 아이스크림템들이 많이 나와서 좋아요/좌석 몇개 있고 키오스크로 주문해요 직원분 조금만 더 친절하셨음 좋겠어요.../베라는 주기적으로 먹어줘야 합니다ㅎㅎ/kt 더블할인 부지런히 쓰러 오네요!! 8,900원 파인트 할인쓰면 6,200원! 피카츄 패키지라 귀여워요!/알바언니가 아이스크림 장인이에요 칼같이 선 딱 맞춰서 예쁘게 나눠 담아주십니더/아이스크림케익 아주 맛있게 먹었습니다 :)/자주갑니다. 역시 맛있어욤/31일이 있는 달에는 베라로~ 사이즈up 행사로 맛있는 아이스크림 먹을수 있어 좋아요^^ 초코나무숲 너무 맛있어요. 오늘은 사이즈up 행사 참여로 마 카롱1개 증정도 1석2조 ^^ 베라 좋아하시면 오늘드세요♡/아르바이트생4명 무인주문기는 하나 주문하는사람은 줄서서 한참을 기다려야하고 한사람이 버벅거리면 주문도 못하고 한참 기다려야하는 시스템이 당황스럽네요 주문은 포스기 하나로 다 받아야하면 차라리 알바생 한분은 포스기 주문하는거를 도와주시던지 뭔가 참 답답한 시스템이네요/좋아요"
뚱보칡냉면,한식,냉면집,한식 음식점업,별내동,37.6493055315155,127.107155857975,별내동%20뚱보칡냉면,https://m.place.naver.com/restaurant/37769599,경기 남양주시 불암산로 60,4.46,/냉면도 맛있고 돈가스도 맛있습니다 강추합니다/냉면은 당연히 맛있고 사장님이 친절하세요 ㅎㅎ/급냉면이 땡겨서... 맛나게 먹었네요./주차할 곳이 없어서 먼 데다 세우고 걸어갔어요ㅠㅠ 맛은 그냥저냥 괜찮았어요/돈가스는 맛이없지만 비빔냉면은 맛있어요/우연히 들른 맛집~/가격이 후덜덜 맛나요/별내동 냉면 맛집! 시원한 냉면 좋아요~~/굿/물냉면 시원
옻닭의신,닭/오리요리,옻닭전문,한식 음식점업,별내동,37.683050985155,127.101445638715,별내동%20옻닭의신,https://m.place.naver.com/restaurant/35840646,경기 남양주시 덕릉로1071번길 24,,
그레이가든,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6590842475731,127.127960853949,별내동%20그레이가든,https://m.place.naver.com/restaurant/1168770880,경기 남양주시 두물로39번길 38 1층 그레이가든,4.46,/예약을 하고 가긴 했지만 다소 많은 인원이 오랜 시간 자리를 차지했는데도 불구하고 친절하게 잘 대해주셨고 음식도 다 맛있었습니다./맛있고 양도 많았음 근데 알바 교육 다시 시켜야할듯.. 폰만보고 표정은 왜그런지🫡/파스타는 좀 짭짤했는데 전체적으로 괜찮았어요/가격대비 조금ㅎㅎ 아쉬웠어요/에그베네딕트 넘 아쉬워요ㅜ/햄버거 맛있네요!/분위기 좋아요^^/브런치 맛있구 손님 많아요/엄마와 식사하러 갔었는데 엄마가 맛있다고 좋아하셨어요~ 강아지랑 같이 갈 수 있어서 좋았네요./매장이 예쁘네요~
대구반야월막창,한식,곱창/양구이전문,한식 음식점업,별내동,37.6516967563819,127.111195638018,별내동%20대구반야월막창,https://m.place.naver.com/restaurant/1239211403,경기 남양주시 식송1로 19,4.44,"/별내동에서 돼지 막창 맛집을 찾으신다면... 바로 여깁니다!!!! 진짜 냄새라곤 1도 없고, 초벌해서 주셔서 취향따라 더 익혀드시면 됩니다😋😋 같이 내어주시는 부추, 상추 겉절이도 맛있고... 계란찜 진짜 존맛탱👍🏻 마지막은 라면으로 싸악 마무리하면 끝납니다...! 매장도 청결하고, 직원분들 모두 친절하시고... 진짜 외않가요...? 앞으로 막창이 땡기면 무조건 여기로 갑니다🤗🤗/별내동에서 가성비최고 ^^ 맛집 막창 너무 맛있어요 주차장도 넓고.. 언제먹어도 언제나 넘 맛있네요 ㅋ친절하기까지~~ 휴 다이어트는 내일부터 😆/맛있어요 맛있어요 맛있어요 👍 나의 단골집/먹골역 대구반야월이랑 조금 다른데 별내도 맛있긴하네요~^^/막창 넘넘 맛있어요 노릇하게익혀 겉은바삭하고 속은 적당히 졸깃하고.. 오돌갈비도 별미네요 오도독씹는맛이일품~ 👍 일하시는 언니도 넘 친절하시고.. 재방문100프로네요 코로나로 어려운시기에 문닫는가게가 넘나 많은데 잘 극복하셔서 언제든 갈수있는가게가 되었으면합니당ㅎ/와… 여기 진짜 와…..미쳤습니다 삼겹살이랑 막창… 여기 진짜 너무 맛있네요 맛있어요.. 맛있어요 정말ㅋㅋ 무조건 와야해요 사장님도 잘생겼어요/막창 너무 맛있어요~ 집근처라 자주 갈거 같아요~/너무 맛있어요 또올게요/기대 안하고 간지라 사진은 하나도 안찍었네요. 근데 생막창 너무 맛있었고!! 오도독살도 맛있구~ 계란찜도 간이 적당~ 특히 된장찌개 천원은 그냥 거 저 주는거네요. 된장찌개 안시키면 바보~ 너무 맛있었어요!! 사장님두 친절하시고~~ 단골될거에요!!^^ 영수증 평소에 받지도 않는데 리뷰 쓰려고 달라 고 함ㅎㅎㅎ 진짜 너무 맛있고 친절하고 깨끗!!! 가성비 좋고!! 추천해요~/2021년 12월 8일(수) 드디어 오픈했습니다 ㅠㅠㅠㅠㅠㅠㅠㅠ 맨날 갈꺼에요 모두 run!!"
풍천장어,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6692983158765,127.118977146248,별내동%20풍천장어,https://m.place.naver.com/restaurant/44394392,"경기 남양주시 순화궁로 492-10 492-12,",4.29,/좋아요/굿/좋아요/좋아요/😄/././굿/친절해요/굿~
약수농원,한식,한식/백반/한정식,한식 음식점업,별내동,37.6817536260343,127.103830758999,별내동%20약수농원,https://m.place.naver.com/restaurant/1810573261,경기 남양주시 별내동 2225-5,,
밥집,한식,한식/백반/한정식,한식 음식점업,별내동,37.6439775906667,127.109168641281,별내동%20밥집,https://m.place.naver.com/restaurant/1143738883,경기 남양주시 불암로109번길 4-18,4.63,"/최근에 먹은 음식점중 최고로 맛나게 맛있게 먹었습니다 김치찜. 곱창전골 진짜 맛있습니다!/맛있어요~ 소곱탕 강추에요~~👍/소곱탕 맛있음/곱개장 너무맛있었어요! 뚝배기 소곱탕도 꿀맛이요! 반찬도 솜씨좋은 어머님이 해주는 그런 맛입니다. 직장 근처면 매일 점심먹고싶은 집입니다. 잘먹 었습니다./예전 고마우이 사장님이 메뉴 바꾸시고 매장명도 새롭게 변경하신 가게네요, 맛은 역시 굿~~~/좋아요/./좋습니다/친절해요/."
바위와소나무,일식/수산물,민물장어전문,한식 음식점업,별내동,37.6680342295413,127.119830887222,별내동%20바위와소나무,https://m.place.naver.com/restaurant/19882034,경기 남양주시 순화궁로 474 바위와소나무,4.17,"/오래전부터 자주 찾던 곳인데 오랜만에 오니 너무 실망스럽게 바뀌었네요 메뉴판 던지기부터 주문 받으실때, 서빙하실때도 불친절하시고 찬이 다 나 왔냐하니 슬쩍 보시고는 다 나왔다고..(밥도 안나왔고 고기, 생선도 나오지 않은 상태였음) 일하시는 분이 정식에 어떤 요리가 나오시는 지도 모르는 느 낌이었어요.. 정식은 반찬을 미리 떠놓았는지 반찬이 말라있고 가격대비 먹을게 없네요.. 한정식집 이곳저곳 많이 다녀봤지만 가격대비 나오는 .../비난아닌 비판임. 어버이날 30분 정도는 기다릴만했음. 근데 이 안좋으신 할머니위해서 일부러 죽을 함께 파는곳으로 찾아간건데 다 기다리고 앉으니 까 죽안되고(9천원) 무조건 정식(15000~)시키라함 죽 라인이 가동을 못한다고. 첨부터 안내했어야지? 근데 정식에 포함된 죽은 나온다고함ㅋㅋㅋ할수 없이 4인정식 시켰는데 그때부터 음식 절대 안나옴 거짓말안하고 우리 앞뒤옆 ‘모든’테이블이 쫄쫄굶고 바로 옆은 부모님이 중간에 화내고 나감 .../이번엔 친정 어머니 모시고 다녀왔어요 맛있게 잘 먹었습니다/돌솥밥이 없어서 아쉽네요 밑반찬은 신경쓰면 좋을것같아요/음식도 엄청 느리게나오고 가져다주신 앞접시는 더럽고 죄송하지만 맛도 별로에요/전에 가봤을 때와는 많이 변했네요/조용하고 뷰도 좋고 가성비 좋은 음식점/나물,기본찬이 맛 있어요.집밥 느낌./굿/기대하고 갔는데 별로내요 ㅋㅋ"
신동태권도,한식,한식/백반/한정식,한식 음식점업,별내동,37.6721368637369,127.133612030118,별내동%20신동태권도,https://m.place.naver.com/restaurant/34761468,경기 남양주시 송산로339번길 4-4,,
아지트,한식,한식/백반/한정식,한식 음식점업,별내동,37.6500785621626,127.112880782101,별내동%20아지트,https://m.place.naver.com/restaurant/1240502047,서울 노원구 덕릉로 859,,
